Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northeast,Northampton,Upper Nazareth Township,CF MARTIN & CO INC,CF MARTIN CO INC,516029,CF MARTIN & CO INC/UPPER NAZARETH,243231,Y,Renewal,Title V Operating Permit,,ISSU,2025-05-16 00:00:00,2026-01-21 00:00:00,2031-01-21 00:00:00,1528318[48-00017]_Issued_v1.pdf
Northeast,Northampton,Williams Township,CHRIN BROS INC,CHRIN BROS SANI LDFL,238053,CHRIN BROS SANI LDFL/CHRIN LDFL,494731,Y,Renewal,Title V Operating Permit,,ISSU,2021-11-04 00:00:00,2023-01-09 00:00:00,2028-01-09 00:00:00,1378596[48-00037]_Issued_v1.pdf
Northeast,Schuylkill,Cressona Borough,HYDRO EXTRUSION USA LLC,"HYDRO EXTRUSION USA, LLC",246794,"HYDRO EXTRUSION USA, LLC/CRESSONA",510716,Y,Renewal,Title V Operating Permit,,ISSU,2022-07-27 00:00:00,2023-11-20 00:00:00,2028-11-20 00:00:00,1404990[54-00022]_Issued_v1.pdf
Northeast,Schuylkill,Frailey Township,RAUSCH CREEK GENERATION LLC,RAUSCH CREEK GENERATION BANK,488091,RAUSCH CREEK GENERATION LLC/FRAILEY TWP,474375,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-02 00:00:00,2022-04-26 00:00:00,2027-04-26 00:00:00,1319312[54-00006]_Issued_v1.pdf
Northeast,Schuylkill,Mahanoy Township,SCHUYLKILL ENERGY RESOURCES INC,READING ANTHRACITE ELLANGOWAN 45A & COGEN MINE,443393,SCHUYLKILL ENERGY RES/ST NICHOLAS COGEN,467540,Y,Renewal,Title V Operating Permit,,ISSU,2022-12-28 00:00:00,2023-11-16 00:00:00,2028-11-16 00:00:00,1423493[54-00003]_Issued_v1.pdf
Northeast,Schuylkill,Pine Grove Township,INGENCO WHOLESALE POWER LLC,INGENCO WHOLESALE POWER/LEAR KNITTING MILL,514381,INGENCO WHOLESALE POWER LLC/PINE GROVE TWP,675119,Y,Renewal,Title V Operating Permit,,ISSU,2020-09-22 00:00:00,2022-07-21 00:00:00,2027-07-21 00:00:00,1328930[54-00073]_Issued_v1.pdf
Northeast,Schuylkill,Rush Township,SILBERLINE MFG CO INC,SILBERLINE MFG CO HOMETOWN FACILITY,544455,SILBERLINE MFG CO/LINCOLN DR PLT,510741,Y,Renewal,Title V Operating Permit,,ISSU,2023-09-08 00:00:00,2024-08-06 00:00:00,2029-08-06 00:00:00,1455454[54-00041]_Issued_v1.pdf
Northeast,Schuylkill,West Mahanoy Township,RI-CORP DEVELOPMENT INC,JOHN B RICH MEMORIAL POWER STATION / GILBERTON POWER CO,465079,GILBERTON POWER CO/JOHN B RICH MEM POWER STA,494374,Y,Renewal,Title V Operating Permit,,ISSU,2022-12-23 00:00:00,2023-11-16 00:00:00,2028-11-16 00:00:00,1426542[54-00004]_Issued_v1.pdf
Northwest,Armstrong,South Bend Township,EASTERN GAS TRANS & STORAGE INC,SOUTH BEND COMP STA,246665,EASTERN GAS TRANS & STORAGE INC/SOUTH BEND COMP STA,252420,Y,Renewal,Title V Operating Permit,,ISSU,2021-03-01 00:00:00,2022-06-07 00:00:00,2027-05-31 00:00:00,1344443[03-00180]_Issued_v1.pdf
Northwest,Butler,Butler Township,CLEVELAND CLIFFS STEEL HOLDING CORP,CLEVELAND CLIFFS BUTLER WORKS,462685,CLEVELAND CLIFFS STEEL CORP/ BUTLER WORKS,549775,Y,Renewal,Title V Operating Permit,,ISSU,2023-06-27 00:00:00,2025-06-11 00:00:00,2030-05-31 00:00:00,1445206[10-00001]_Issued_v2.pdf
Northwest,Butler,Clay Township,WASTE MGMT DSPL SVC OF PA INC,NORTHWEST SANI LDFL,243068,WASTE MGMT DSPL SVC/NORTHWEST SANITARY LANDFILL,495428,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-28 00:00:00,2022-04-21 00:00:00,2027-03-31 00:00:00,1321946[10-00285]_Issued_v1.pdf
Northwest,Butler,Jackson Township,SENECA LDFL INC,SENECA LANDFILL INC,524239,SENECA LANDFILL INC/SENECA,510553,Y,Renewal,Title V Operating Permit,,ISSU,2020-06-02 00:00:00,2021-08-25 00:00:00,2026-07-31 00:00:00,1316479[10-00284]_Issued_v1.pdf
Northwest,Butler,Winfield Township,ARMSTRONG CEMENT & SUPPLY CORP,ARMSTRONG CEMENT & SUPPLY,254557,ARMSTRONG CEMENT & SUPPLY/WINFIELD,265869,Y,Renewal,Title V Operating Permit,,ISSU,2022-03-29 00:00:00,2023-08-17 00:00:00,2028-07-31 00:00:00,1390115[10-00028]_Issued_v1.pdf
Northwest,Butler,Zelienople Borough,BNZ MATERIALS INC,BNZ MATERIALS,457037,BNZ MATERIALS INC/ZELIENOPLE,493681,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-07 00:00:00,2021-11-12 00:00:00,2026-10-31 00:00:00,1319959[10-00079]_Issued_v1.pdf
Northwest,Clarion,Elk Township,CLARION BATHWARE INC,CLARION BATHWARE MFG,502355,CLARION BATHWARE/MARBLE,510133,Y,Renewal,Title V Operating Permit,,ISSU,2023-04-17 00:00:00,2024-11-01 00:00:00,2029-10-31 00:00:00,1435899[16-00133]_Issued_v1.pdf
Northwest,Crawford,Greenwood Township,VITRO MEADVILLE FLAT GLASS LLC,VITRO MEADVILLE FLAT GLASS MEADVILLE PLT,959,VITRO MEADVILLE FLAT GLASS MEADVILLE PLT/CRAWFORD,1274,Y,Renewal,Title V Operating Permit,,ISSU,2024-03-22 00:00:00,2025-10-22 00:00:00,2030-09-30 00:00:00,1478197[20-00145]_Issued_v1.pdf
