Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Tioga,Westfield Borough,WESTFIELD TANNING CO,WESTFIELD TANNING PLT,241330,WESTFIELD TANNING CO/WESTFIELD PLT,245060,N,New,Title V Operating Permit,,ISSU,1995-09-15 00:00:00,2001-01-18 00:00:00,2005-12-31 00:00:00,355044[59-00001]_Issued_v1.pdf
Northcentral,Union,East Buffalo Township,PA HOUSE INC,PA HOUSE FURNITURE LEWISBURG PLT,4751,PA HOUSE/LEWISBURG FURNITURE PLT,6422,N,New,Title V Operating Permit,,ISSU,1995-11-22 00:00:00,2000-12-27 00:00:00,2005-12-26 00:00:00,355303[60-00008]_Issued_v1.pdf
Northcentral,Union,White Deer Township,CMC STEEL FABRICATORS INC,CMC JOIST & DECK,2491,CMC JOIST AND DECK/ WHITE DEER TWP,3320,N,Modification,Title V Operating Permit,,ISSU,2010-03-01 00:00:00,2010-05-13 00:00:00,2010-11-22 00:00:00,828617[60-00004]_Issued_v1.pdf
Northcentral,Union,White Deer Township,PA HOUSE INC,PA HOUSE WHITE DEER FAC,4774,PA HOUSE/WHITE DEER FURNITURE PLT,6458,N,Modification,Title V Operating Permit,,ISSU,2004-04-12 00:00:00,2004-08-04 00:00:00,2005-12-26 00:00:00,542409[60-00009]_Issued_v1.pdf
Northeast,Carbon,Banks Township,ITG CIGARS INC,ITG CIGARS INC,236805,ITG CIGARS INC/MCADOO PLT,238941,Y,New,Title V Operating Permit,,ISSU,1995-09-20 00:00:00,2025-11-06 00:00:00,2005-01-31 00:00:00,353964[13-00005]_Issued_v1.pdf
Northeast,Carbon,Nesquehoning Borough,KOVATCH ENTERPRISES INC,BULLDOG OEM SVC INC,248369,KOVATCH MOBILE EQUIP/NESQUEHONING PLT,519803,N,New,Title V Operating Permit,,ISSU,1998-03-03 00:00:00,2021-09-07 00:00:00,2005-03-31 00:00:00,355419[13-00008]_Issued_v1.pdf
Northeast,Carbon,Nesquehoning Borough,PANTHER CREEK POWER OPR LLC,PANTHER CREEK PERMITTING BANK,449505,PANTHER CREEK POWER OPR LLC/NESQUEHONING,475620,Y,Renewal,Title V Operating Permit,,ISSU,2008-05-22 00:00:00,2018-11-27 00:00:00,2023-11-27 00:00:00,1023399[13-00003]_Issued_v2.pdf
Northeast,Carbon,Palmerton Borough,BEFESA ZINC US INC.,BEFESA ZINC US INC,257350,BEFESA ZINC US INC./PALMERTON,271194,Y,Amendment,Title V Operating Permit,,ISSU,2024-08-23 00:00:00,2024-11-12 00:00:00,2027-11-04 00:00:00,1496891[13-00001]_Issued_v1.pdf
Northeast,Carbon,Palmerton Borough,BEFESA ZINC US INC.,HORSEHEAD CORP PLAMERTON FAC,239610,HORSEHEAD CORP/EAST PLT,242768,N,Transfer,Title V Operating Permit,,ISSU,2004-04-21 00:00:00,2004-04-21 00:00:00,,552049[13-00012]_Issued_v1.pdf
Northeast,Lackawanna,Archbald Borough,PEI POWER LLC,ARCHBALD POWER STA,484151,PEI POWER CORP/ARCHBALD,512965,Y,"Modification, Significant",Title V Operating Permit,,ISSU,2023-09-18 00:00:00,2026-01-07 00:00:00,2029-02-13 00:00:00,1455802[35-00002]_Issued_v1.pdf
Northeast,Lackawanna,Dunmore Borough,KEYSTONE SANI LDFL INC,KEYSTONE SANI LDFL,452485,KEYSTONE SANI LDFL INC/DUNMORE,555989,Y,Renewal,Title V Operating Permit,,ISSU,2020-03-27 00:00:00,2021-09-24 00:00:00,2026-09-24 00:00:00,1312192[35-00014]_Issued_v1.pdf
Northeast,Lackawanna,Fell Township,GENTEX OPTICS INC,GENTEX OPTICS SIMPSON PLT,545896,GENTEX OPTICS INC/SIMPSON NIGHTVISION,564235,N,Renewal,Title V Operating Permit,,ISSU,2005-06-28 00:00:00,2009-11-19 00:00:00,2014-11-19 00:00:00,596618[35-00047]_Issued_v1.pdf
Northeast,Lackawanna,Jessup Borough,LACKAWANNA ENERGY CTR LLC,LACKAWANNA ENERGY CTR,783921,LACKAWANNA ENERGY CTR LLC/JESSUP,776907,Y,Amendment,Title V Operating Permit,,ISSU,2023-12-01 00:00:00,2023-12-28 00:00:00,2028-08-02 00:00:00,1465081[35-00069]_Issued_v1.pdf
Northeast,Lackawanna,Olyphant Borough,CINRAM GROUP INC,CANPACK US,3094,TECHNICOLOR HOME ENTERTAINMENT SERVICES SOUTHEAST LLC,515036,N,Renewal,Title V Operating Permit,,ISSU,2012-12-05 00:00:00,2014-09-17 00:00:00,2019-09-17 00:00:00,953845[35-00032]_Issued_v1.pdf
Northeast,Lackawanna,Scranton City,GLOBAL METALFORM,GLOBAL METAL FORM MFG,485666,GLOBAL METALFORM/DAVIS ST PLT,514398,N,Renewal,Title V Operating Permit,,ISSU,2003-12-01 00:00:00,2004-09-16 00:00:00,2009-09-15 00:00:00,539072[35-00006]_Issued_v1.pdf
Northeast,Lackawanna,Taylor Borough,ALLIANCE SANI LDFL INC,ALLIANCE SANI LDFL,452024,ALLIANCE SANI LANDFILL INC/TAYLOR LDFL,495147,Y,Amendment,Title V Operating Permit,,ISSU,2025-03-05 00:00:00,2025-04-11 00:00:00,2027-12-07 00:00:00,1522764[35-00011]_Issued_v1.pdf
Northeast,Lackawanna,Throop Borough,"APTIM GOVERNMENT SOLUTIONS, LLC",KEYSTONE RECOVERY THROOP,462709,KEYSTONE RECOVERY THROOP,512949,N,Amendment,Title V Operating Permit,,ISSU,2019-09-24 00:00:00,2019-10-08 00:00:00,2021-07-13 00:00:00,1291111[35-00024]_Issued_v1.pdf
Northeast,Lehigh,Alburtis Borough,VICTAULIC CO,VICTAULIC CO ALBURTIS FACILITY,483735,VICTAULIC COMPANY/ALBURTIS FACILITY,515738,Y,Renewal,Title V Operating Permit,,ISSU,2022-04-19 00:00:00,2023-02-22 00:00:00,2028-02-22 00:00:00,1393813[39-00069]_Issued_v1.pdf
Northeast,Lehigh,Allentown City,LSI CORP,LSI CORP ALLENTOWN UNION BOULEVARD FAC,579728,AGERE SYSTEMS INC/ALLENTOWN,252653,N,New,Title V Operating Permit,,ISSU,1995-11-21 00:00:00,2000-08-31 00:00:00,2005-08-31 00:00:00,355404[39-00001]_Issued_v1.pdf
Northeast,Lehigh,Allentown City,AMER ATELIER INC,AMER ATELIER MFG,480966,AMER ATELIER INC/INACTIVE PF DO NOT USE,510212,N,New,Title V Operating Permit,,ISSU,2005-10-13 00:00:00,2007-05-30 00:00:00,2012-05-30 00:00:00,608704[39-00082]_Issued_v1.pdf
